"word","tf","idf","tf_idf"
"fish",0.718195050946143,1.39418567782713,1.00129725391544
"shrimp",0.40844250363901,2.09913937097407,0.857377740167865
"beet",0.339155749636099,2.47534551654402,0.839527664271843
"pan",0.643668122270742,1.16355846202575,0.748945490404348
"grill",0.365065502183406,2.03030486515377,0.741194265182774
"heat",1.59446870451237,0.451486183979682,0.719880590875318
"stir",0.912372634643377,0.77785870325063,0.709696994465058
"cook",1.38602620087336,0.508886699261317,0.705330298452148
"add",1.66113537117904,0.405901884703883,0.674257977909856
"teaspoon",0.380203784570597,1.73985500792926,0.661499458618812
"bake",0.503930131004367,1.30443938997086,0.657346312675271
"water",0.53566229985444,1.1672932936314,0.625275010271262
"tablespoon",0.450072780203785,1.36298730697127,0.61344348663103
"tuna",0.258806404657933,2.30113054728305,0.595547323590868
"place",0.597379912663755,0.990286740751715,0.591577406702334
"sauce",0.407569141193595,1.43981183865391,0.586822874560545
"cup",0.413100436681223,1.4071805446835,0.581306897498075
"skillet",0.497525473071325,1.15059531753524,0.572450479670371
"mixture",0.513245997088792,1.11357077259845,0.571535741511225
"oven",0.45938864628821,1.22803485399677,0.564145269172313
"side",0.502183406113537,1.11623389001793,0.560554136908567
"slice",0.358078602620087,1.50451417337199,0.538734332823159
"cover",0.512372634643377,1.0500300895613,0.538006683443343
"cut",0.36448326055313,1.44473795698997,0.52658280120857
"olive",0.399708879184862,1.30981863909059,0.523546140166342
"remain",0.512372634643377,1.02051975141191,0.522886393736524
"season",0.541775836972344,0.959420092771187,0.519790623769193
"fillet",0.234643377001456,2.20423599957402,0.517209378648228
"onion",0.417176128093159,1.22902938416327,0.512721719797954
"bowl",0.942940320232897,0.543372875332486,0.512368193071884
"lemon",0.353711790393013,1.42881600397938,0.505389066909737
"toss",0.480640465793304,1.05086238257647,0.505086985046214
"remove",0.446870451237263,1.11623389001793,0.498811942118638
"combine",0.500727802037846,0.990286740751715,0.495864103083828
"boil",0.381077147016012,1.27901429160505,0.487403117237557
"top",0.443085880640466,1.09948603271671,0.487166737058174
"transfer",0.368558951965065,1.32175583998232,0.487144947137588
"juice",0.435807860262009,1.11091472854033,0.484145370778711
"butter",0.259097525473071,1.84835292580997,0.478903669278274
"garlic",0.405240174672489,1.16262692958764,0.471143140025035
"medium",0.450363901018923,1.04339656606566,0.46990814780308
"oil",1.09024745269287,0.427094730855523,0.46563894237378
"minute",1.96069868995633,0.235961891997518,0.462650172519151
"chicken",0.167685589519651,2.74814465830409,0.460824257113
"large",0.768850072780204,0.5990286592879,0.460563228290929
"whisk",0.312663755458515,1.46721081284202,0.458743642792528
"brown",0.338864628820961,1.34942777718564,0.457273342836706
"coat",0.36448326055313,1.24406726152781,0.453441691829061
"pepper",0.953420669577875,0.470411281465806,0.448499838952115
"simmer",0.275691411935953,1.62262491671605,0.447343754331908
"tomato",0.23901018922853,1.85391364449467,0.443104250984023
"sprinkle",0.365938864628821,1.20058214958808,0.43933966871389
"inch",0.271033478893741,1.6094379124341,0.436211556470494
"small",0.334206695778748,1.30336700380911,0.435593979730088
"dress",0.208733624454148,2.08264900907465,0.434718876129993
"drain",0.296069868995633,1.4659489830216,0.434023323357487
"set",0.270451237263464,1.59642254432203,0.431754452307181
"plate",0.289374090247453,1.4837611587857,0.429362035468119
"cheese",0.225036390101892,1.87837394206483,0.422702491183729
"half",0.229403202328967,1.83915322891154,0.421907640285967
"vegetable",0.202620087336245,2.07798699596884,0.421041906606787
"salt",1.15400291120815,0.363560730143957,0.419550140987087
"leave",0.213100436681223,1.96175555100388,0.418050964580739
"mix",0.251237263464338,1.6571369690212,0.416334557282473
"potato",0.147307132459971,2.81876222551804,0.415223780527548
"sprout",0.147016011644833,2.81876222551804,0.414403180170775
"turn",0.264046579330422,1.5680920376958,0.414049338628849
"use",0.233187772925764,1.75826556977244,0.410006032427286
"tender",0.286171761280932,1.42517743113547,0.407845535605872
"bring",0.279767103347889,1.43858409141559,0.402468504177694
"let",0.254148471615721,1.58074153875988,0.401743046095305
"sheet",0.205240174672489,1.94940971518158,0.400097190452114
"pot",0.184861717612809,2.16288643975533,0.399834902254624
"bacon",0.129839883551674,3.06036783967199,0.397357803928299
"good",0.236098981077147,1.67874274773578,0.396349452231068
"high",0.232023289665211,1.69764094795601,0.393892237415121
"preheat",0.294323144104803,1.33052782605516,0.391605133083483
"dish",0.204366812227074,1.90149635948568,0.388602749449475
"cool",0.222707423580786,1.74317727012124,0.38821851867329
"fat",0.140902474526929,2.73909482278417,0.385945238494189
"ingredient",0.247161572052402,1.55560054980177,0.384484677374587
"salad",0.188937409024745,2.03030486515377,0.383600540752488
"mediumhigh",0.262299854439592,1.46091752586623,0.383198454382963
"chop",0.188355167394469,2.0214747857055,0.380755221645257
"bread",0.156622998544396,2.42474450325023,0.379770754803093
"pour",0.224745269286754,1.68030402830273,0.377640381324515
"vinegar",0.245414847161572,1.53647428370825,0.377073601503946
"arugula",0.184861717612809,2.0347493169142,0.376147253636249
"serve",0.747016011644833,0.501168378262815,0.374380803092397
"pasta",0.121688500727802,3.06659838942262,0.373169760343131
"egg",0.147307132459971,2.52500110698988,0.371950672528931
"make",0.194177583697234,1.91129075707797,0.371129820952257
"green",0.179330422125182,2.06872767055604,0.37098580642286
"cabbage",0.137409024745269,2.69073375109075,0.36973110058656
"spoon",0.212809315866084,1.72503992214412,0.367104565673174
"just",0.21018922852984,1.73819800672163,0.365350498064926
"flour",0.146433770014556,2.4857803938366,0.364002194497761
"reserve",0.157496360989811,2.30404175749051,0.362878192373323
"reduce",0.202037845705968,1.78219833598407,0.360071512422983
"piece",0.167103347889374,2.13541904505472,0.356835671575373
